feature,importance
neighbor_count_ring2,0.5419716
neighbor_density_ring2,0.31887326
strike_density_5min,0.03417854
strike_rate_5min,0.029134583
strike_count_5min,0.026321188
spatial_gradient_ring1,0.02227375
strike_rate_30min,0.004696934
strike_count_15min,0.0038113699
strike_rate_90min,0.0022321786
strike_count_30min,0.0022194728
strike_count_90min,0.002057602
max_neighbor_ring2,0.0015844982
strike_acceleration,0.0015519849
hour_of_day,0.0013053897
max_neighbor_ring1,0.0011833204
strike_density_60min,0.0011040542
strike_rate_60min,0.0010530957
cluster_size_ring2,0.0007659008
strike_count_60min,0.00074905175
time_of_day_cat,0.00066211174
cluster_size_ring1,0.00060498284
time_since_last_strike,0.0005945605
neighbor_count_ring1,0.00057639874
neighbor_density_ring1,0.00049411255
day_of_week,0.0
strike_density_30min,0.0
spatial_gradient_ring2,0.0
strike_rate_15min,0.0
strike_density_15min,0.0
strike_density_90min,0.0
is_weekend,0.0
